,name,city,country,code_iata,code_icao,latitude,longitude,altitude,tz,dst,tz_region
7729,Sikeston Memorial Municipal,Sikeston,United States,SIK,KSIK,36.8988889,-89.56175,315,-6.0,A,America/Chicago
7730,Nynashamn Ferry Port,Nynashamn,Sweden,NYN,\N,58.9,17.95,0,1.0,E,Europe/Stockholm
7731,Rodby Port,Rodby,Denmark,ROD,\N,54.65,11.35,0,1.0,E,Europe/Copenhagen
7732,Puttgarden,Puttgarden,Germany,QUA,\N,54.5,11.2167,0,1.0,E,Europe/Berlin
7733,Sonevafushi,Sonevafushi,Maldives,,\N,5.112336,73.07805,0,5.0,U,Indian/Maldives
7734,Royal Island Resort,Royal Island Resort,Maldives,,\N,5.162911,73.053578,0,5.0,U,Indian/Maldives
7735,Royal Island Resort,Royal Island Resort,Maldives,,\N,5.162911,73.053578,0,5.0,U,Indian/Maldives
7736,Port of Belfast,Belfast,United Kingdom,BE2,\N,54.6178,-5.9017,0,0.0,E,Europe/London
7737,Stranraer Ferry Port,Stranraer,United Kingdom,SR2,\N,54.902,-5.027,0,0.0,E,Europe/London
7738,Oceano County Airport,Oceano,United States,L52,KL52,35.10147222,-120.62236111,14,-8.0,U,America/Los_Angeles
7739,Eupen - Rail,Eupen,Belgium,,\N,50.3743,6.0201,1000,1.0,E,Europe/Brussels
7740,Tetiaroa Airport,Tetiaroa,French Polynesia,TTI,NTTE,-17.0132999,-149.5870056,0,-10.0,N,Pacific/Tahiti
7741,Osnabrueck Hbf,Osnabrueck,Germany,,\N,52.272778,8.061111,207,1.0,E,Europe/Berlin
7742,Hannover Hbf,Hannover,Germany,,\N,52.366667,9.716667,180,1.0,E,Europe/Berlin
7743,Floyd Bennett Memorial Airport,Queensbury,United States,GFL,KGFL,43.341222,-73.610305,328,-5.0,A,America/New_York
7744,Saratoga County Airport,Ballston Spa,United States,5B2,K5B2,43.050722,-73.861638,433,-5.0,A,America/New_York
7745,Burrello-Mechanicville Airport,Mechanicville,United States,K27,\N,42.893133,-73.66845,195,-5.0,A,America/New_York
7746,Tampa Padang,Mamuju,Indonesia,MJU,WAWJ,-2.583333,119.033333,2,8.0,N,Asia/Makassar
7747,Crystal River,Crystal River,United States,CGC,KCGC,28.8676111,-82.5741111,9,-5.0,A,America/New_York
7748,Martin State,Baltimore,United States,MTN,KMTN,39.3256667,-76.4137778,22,-5.0,A,America/New_York
7749,Lincoln Regional Airport Karl Harder Field,Lincoln,United States,LHM,KLHM,38.9091667,-121.3513333,121,-8.0,A,America/Los_Angeles
7750,Fostoria Metropolitan Airport,Fostoria,United States,FZI,KFZI,41.1908333,-83.3930833,752,-5.0,A,America/New_York
7751,Eastern Slopes Regional,Fryeburg,United States,IZG,KIZG,43.9911389,-70.9478889,455,-5.0,A,America/New_York
7752,Coral Creek,Placida,United States,,FA54,26.8537417,-82.2526028,8,-5.0,A,America/New_York
7753,Lakefront,New Orleans,United States,NEW,KNEW,30.0424167,-90.02825,7,-6.0,A,America/Chicago
7754,Pappy Boyington,Coeur d'Alene,United States,COE,KCOE,47.7743056,-116.8195833,2320,-8.0,A,America/Los_Angeles
7755,Beaumont Municipal,Beaumont,United States,BMT,KBMT,30.0702044,-94.2150967,32,-6.0,A,America/Chicago
7756,Vermilion Regional,Danville,United States,DNV,KDNV,40.1996944,-87.5955278,696,-6.0,A,America/Chicago
7757,Varberg Railway Station,Varberg,Sweden,,\N,57.107118,12.2520907,0,1.0,E,Europe/Stockholm
7758,Coonabarabran,Coonabarabran,Australia,COJ,YCBB,-31.337221,149.27194,2117,10.0,O,Australia/Sydney
7759,Toronto Union Station,Toronto,Canada,,\N,43.645278,-79.380556,249,-5.0,A,America/Toronto
7760,Windsor Station,Windsor,Canada,,\N,42.3254,-83.0092,623,-5.0,A,America/Toronto
7761,Dearborn Amtrak Station,Dearborn,United States,,\N,42.312222,-83.198611,591,-5.0,A,America/New_York
7762,Merritt Island Airport,Cocoa,United States,COI,\N,28.3416111,-80.6854722,6,-5.0,A,America/New_York
7763,Valkaria Municipal,Valkaria,United States,X59,\N,27.9608611,-80.5583333,26,-5.0,A,America/New_York
7764,Space Coast Reg'l Airport,Titusville,United States,TIX,\N,28.5148,-80.7992278,34,-5.0,A,America/New_York
7765,Sebastian Municipal,Sebastian,United States,X26,\N,27.81325,-80.4955833,21,-5.0,A,America/New_York
7766,Terrace Bay,Terrace Bay,Namibia,TCY,\N,-19.9705556,13.0244444,0,1.0,N,Africa/Windhoek
7767,Nxabega Airstrip,Nxabega,Botswana,,FB57,-19.5147,22.77665,3100,2.0,U,Africa/Gaborone
7768,Kelani River-Peliyagoda Waterdrome,Colombo,Sri Lanka,KEZ,\N,6.96746370029,79.881972313,28,5.5,N,Asia/Colombo
7769,Polgolla Reservoir,Kandy,Sri Lanka,KDZ,\N,7.32512500969,80.6421157123,1472,5.5,N,Asia/Colombo
7770,Bumi,Bumi Hills,Zimbabwe,,FVBM,-16.8168572738,28.3488879204,1633,2.0,N,Africa/Harare
7771,Priv,Lagos,Portugal,,\N,37.096744,-8.663535,0,0.0,E,Europe/Lisbon
7772,Warnervale Airport,Warnervale Airport,Australia,,YWVA,-33.240833,151.427778,25,10.0,U,Australia/Sydney
7773,Boat,Hati,Haiti,,\N,19.15,-73.0,0,-5.0,N,America/Port-au-Prince
7774,Boat,Hati,Haiti,,\N,19.1,-73.0,0,-5.0,N,America/Port-au-Prince
7775,Cartitas,Hati,Haiti,,\N,18.55,-72.3,50,-5.0,N,America/Port-au-Prince
7776,Boat,Hati,Haiti,,\N,19.0,-73.0,0,-5.0,N,America/Port-au-Prince
7777,Hospital,Port Au Prince,Haiti,,\N,18.5501,-72.3001,50,-5.0,N,America/Port-au-Prince
7778,Clinic,Saint Marc,Haiti,,\N,19.1001,-72.7001,30,-5.0,N,America/Port-au-Prince
7779,Village,Dodard,Haiti,,\N,19.0661,-72.3001,2639,-5.0,N,America/Port-au-Prince
7780,Bouarfa International,Bouarfa,Morocco,,GMFB,32.518889,-1.9775,3564,0.0,N,Africa/Casablanca
7781,Beijing West Railway Station,Beijing,China,,\N,39.8955463,116.3201722,167,8.0,N,Asia/Chongqing
7782,Hung Hom Railway Station,Hong Kong,Hong Kong,,\N,22.303067,114.181527,39,8.0,N,Asia/Hong_Kong
7783,NYERI,NYERI,Kenya,NYE,HKNI,-0.34,36.91,5830,3.0,U,Africa/Nairobi
7784,Angaga Seaplane Dock,Alifu Dhaalu Atoll,Maldives,,\N,3.652859,72.824086,2,5.0,N,Indian/Maldives
7785,Madoogali Seaplane Dock,Alifu Atoll,Maldives,,\N,4.0956,72.753439,2,5.0,N,Indian/Maldives
7786,Effingham Memorial Airport,Effingham,United States,1H2,KEFH,39.07,-88.534,585,-6.0,A,America/Chicago
7787,Stoke,Stoke-on-Trent,United Kingdom,,\N,53.0,2.18333,500,0.0,E,\N
7788,Tobermory Dock,Tobermory,Canada,,\N,45.2578121,-81.6637838,1335,-5.0,A,America/Toronto
7789,South Baymouth Docks,South Baymouth,Canada,,\N,45.5564479,-82.0071535,1335,-5.0,A,America/Toronto
7790,Andrau Airport,Houston,United States,AAP,KAAP,29.43,-95.35,80,-6.0,A,America/Chicago
7791,Flying Cloud Airport,Eden Prairie,United States,FCM,KFCM,44.4938,-93.2726,906,-6.0,A,America/Chicago
7792,Likoma Island Airport,Likoma Island,Malawi,LIX,FWLK,-12.083,34.733001,1600,2.0,N,Africa/Blantyre
7793,Johnson County Airport,Olathe,United States,OJC,KOJC,38.5051,-94.4415,1096,-6.0,A,America/Chicago
7794,Sigiriya Airport,Sigiriya,Sri Lanka,GIU,VCCS,7.57212,80.43412,630,5.5,N,Asia/Colombo
7795,Westbahnhoff,Vienna,Austria,XWW,\N,48.196667,16.337778,600,1.0,E,Europe/Vienna
7796,York Mills GO Bus Terminal,York Mills,Canada,,\N,43.745,-79.406389,449,-5.0,A,America/Toronto
7797,Neumuenster,Neumuenster,Germany,EUM,EDHN,54.079069,9.941719,69,1.0,E,Europe/Berlin
7798,Tak,Tak,Thailand,TKT,VTPT,16.89611,99.25361,478,7.0,N,Asia/Bangkok
7799,Marshall Aiport,Marshall,United States,,\N,44.4469,95.7883,354,8.0,A,Asia/Ulaanbaatar
7800,Meedhuffushi Seaplane dock,Meedhuffushi Island,Maldives,,\N,3.003899,73.000696,0,5.0,U,Indian/Maldives
7801,Lake Simcoe,Barrie-Orillia,Canada,YLS,CYLS,44.487778,-79.559444,972,-5.0,A,America/Toronto
7802,Huronia,Midland,Canada,YEE,CYEE,44.684722,-79.929167,773,-5.0,A,America/Toronto
7803,Markham,Markham,Canada,NU8,CNU8,43.935278,-79.263333,807,-5.0,A,America/Toronto
7804,Stanhope,Haliburton,Canada,ND4,CND4,45.110833,-78.64,1066,-5.0,A,America/Toronto
7805,Lindsay,Lindsay,Canada,NF4,CNF4,44.364722,-78.783889,895,-5.0,A,America/Toronto
7806,Niagara District,Saint Catherines,Canada,YCM,CYSN,43.191667,-79.171111,321,-5.0,A,America/Toronto
